Step,Action,Price,Cash,BTC,BTC_Value,Total
142,1,57881.70,75133.64,16,926107.19,1001240.83
143,1,57892.59,75133.64,16,926281.50,1001415.14
144,1,57882.84,75133.64,16,926125.50,1001259.14
145,1,57882.84,75133.64,16,926125.50,1001259.14
146,1,57882.84,75133.64,16,926125.50,1001259.14
147,1,57864.79,75133.64,16,925836.56,1000970.21
148,1,57892.59,75133.64,16,926281.50,1001415.14
149,1,57948.57,75133.64,16,927177.19,1002310.83
150,1,57974.23,75133.64,16,927587.75,1002721.39
151,-1,57977.61,1930415.97,-16,-927641.81,1002774.16
152,1,57977.61,75131.05,16,927641.81,1002772.86
153,-1,57979.43,1930471.62,-16,-927670.94,1002800.69
154,1,57999.00,74502.45,16,927983.94,1002486.39
155,1,58000.16,74502.45,16,928002.50,1002504.95
156,1,58009.14,74502.45,16,928146.31,1002648.76
157,1,58005.95,74502.45,16,928095.25,1002597.70
158,1,57992.48,74502.45,16,927879.69,1002382.14
159,1,58053.23,74502.45,16,928851.75,1003354.20
160,1,58088.55,74502.45,16,929416.88,1003919.32
161,1,58098.07,74502.45,16,929569.06,1004071.51
162,1,58098.07,74502.45,16,929569.06,1004071.51
163,1,58098.07,74502.45,16,929569.06,1004071.51
164,1,58079.18,74502.45,16,929266.94,1003769.39
165,1,58080.48,74502.45,16,929287.62,1003790.07
166,1,58089.29,74502.45,16,929428.56,1003931.01
167,1,58086.82,74502.45,16,929389.19,1003891.64
168,1,58075.45,74502.45,16,929207.19,1003709.64
169,1,58035.30,74502.45,16,928564.75,1003067.20
170,1,58067.48,74502.45,16,929079.62,1003582.07
171,1,58088.70,74502.45,16,929419.25,1003921.70
172,1,58077.75,74502.45,16,929244.06,1003746.51
173,1,58080.34,74502.45,16,929285.44,1003787.89
174,1,58082.89,74502.45,16,929326.31,1003828.76
175,-1,58082.18,1933130.77,-16,-929314.81,1003815.96
176,1,58090.70,74227.22,16,929451.12,1003678.35
177,1,58093.27,74227.22,16,929492.38,1003719.60
178,1,58098.07,74227.22,16,929569.06,1003796.28
179,1,58098.07,74227.22,16,929569.06,1003796.28
180,1,58115.95,74227.22,16,929855.12,1004082.35
181,1,58150.00,74227.22,16,930399.94,1004627.16
182,1,58170.80,74227.22,16,930732.88,1004960.10
183,1,58173.50,74227.22,16,930776.06,1005003.28
184,1,58192.46,74227.22,16,931079.44,1005306.66
185,1,58192.95,74227.22,16,931087.12,1005314.35
186,1,58200.00,74227.22,16,931199.94,1005427.16
187,1,58237.27,74227.22,16,931796.38,1006023.60
188,1,58232.64,74227.22,16,931722.19,1005949.41
189,1,58206.93,74227.22,16,931310.94,1005538.16
190,1,58211.80,74227.22,16,931388.88,1005616.10
191,1,58208.61,74227.22,16,931337.81,1005565.03
192,1,58192.48,74227.22,16,931079.62,1005306.85
193,1,58192.48,74227.22,16,931079.62,1005306.85
194,1,58215.86,74227.22,16,931453.81,1005681.03
195,1,58208.84,74227.22,16,931341.50,1005568.72
196,1,58215.86,74227.22,16,931453.81,1005681.03
197,1,58242.64,74227.22,16,931882.19,1006109.41
198,1,58246.75,74227.22,16,931947.94,1006175.16
199,1,58322.64,74227.22,16,933162.31,1007389.53
200,1,58325.32,74227.22,16,933205.19,1007432.41
201,1,58378.93,74227.22,16,934062.81,1008290.03
202,1,58379.09,74227.22,16,934065.38,1008292.60
203,1,58352.61,74227.22,16,933641.75,1007868.97
204,1,58337.30,74227.22,16,933396.88,1007624.10
205,1,58366.21,74227.22,16,933859.44,1008086.66
206,1,58449.00,74227.22,16,935183.94,1009411.16
207,1,58495.00,74227.22,16,935919.94,1010147.16
208,1,58499.00,74227.22,16,935983.94,1010211.16
209,1,58538.45,74227.22,16,936615.25,1010842.47
210,1,58552.57,74227.22,16,936841.06,1011068.28
211,1,58567.00,74227.22,16,937071.94,1011299.16
212,1,58568.30,74227.22,16,937092.88,1011320.10
213,1,58565.00,74227.22,16,937040.06,1011267.28
214,1,58544.04,74227.22,16,936704.56,1010931.78
215,1,58540.39,74227.22,16,936646.19,1010873.41
216,1,58568.30,74227.22,16,937092.88,1011320.10
217,1,58555.02,74227.22,16,936880.38,1011107.60
218,1,58550.00,74227.22,16,936800.06,1011027.28
219,1,58500.00,74227.22,16,936000.06,1010227.28
220,1,58495.52,74227.22,16,935928.25,1010155.47
221,1,58488.80,74227.22,16,935820.75,1010047.97
222,1,58481.82,74227.22,16,935709.06,1009936.28
223,1,58475.95,74227.22,16,935615.25,1009842.47
224,1,58450.00,74227.22,16,935200.06,1009427.28
225,1,58456.21,74227.22,16,935299.38,1009526.60
226,1,58480.95,74227.22,16,935695.12,1009922.35
227,1,58467.91,74227.22,16,935486.50,1009713.72
228,1,58433.50,74227.22,16,934936.06,1009163.28
229,1,58424.80,74227.22,16,934796.75,1009023.97
230,1,58424.80,74227.22,16,934796.75,1009023.97
231,1,58414.86,74227.22,16,934637.81,1008865.03
232,1,58419.98,74227.22,16,934719.75,1008946.97
233,1,58528.59,74227.22,16,936457.50,1010684.72
234,1,58505.52,74227.22,16,936088.38,1010315.60
235,1,58505.54,74227.22,16,936088.56,1010315.78
236,1,58483.02,74227.22,16,935728.25,1009955.47
237,1,58483.02,74227.22,16,935728.25,1009955.47
238,1,58475.51,74227.22,16,935608.19,1009835.41
239,1,58467.39,74227.22,16,935478.19,1009705.41
240,1,58486.66,74227.22,16,935786.50,1010013.72
241,1,58499.18,74227.22,16,935986.94,1010214.16
242,1,58503.45,74227.22,16,936055.12,1010282.35
243,1,58502.16,74227.22,16,936034.62,1010261.85
244,1,58492.73,74227.22,16,935883.75,1010110.97
245,1,58501.38,74227.22,16,936022.00,1010249.22
